Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,7.680000,7.700000,7.540000,7.680000,7.333562,21429000
2020-02-19,7.780000,7.820000,7.710000,7.750000,7.400405,20270700
2020-02-20,7.730000,7.770000,7.650000,7.710000,7.362209,15824100
2020-02-21,7.580000,7.710000,7.570000,7.620000,7.276269,17406900
2020-02-24,7.390000,7.390000,7.190000,7.340000,7.008900,17303600
2020-02-25,7.110000,7.160000,7.000000,7.050000,6.953665,15709800
2020-02-26,7.100000,7.190000,6.930000,6.990000,6.894485,30101800
2020-02-27,6.940000,7.220000,6.920000,6.950000,6.855031,38395800
2020-02-28,6.870000,7.130000,6.830000,7.070000,6.973392,48234000
2020-03-02,7.060000,7.180000,6.940000,7.130000,7.036552,40147000
2020-03-03,6.970000,7.130000,6.840000,6.950000,6.858912,40983200
2020-03-04,6.950000,6.970000,6.810000,6.960000,6.868781,31282700
2020-03-05,6.700000,6.730000,6.510000,6.660000,6.572712,42377300
2020-03-06,6.470000,6.540000,6.330000,6.400000,6.316120,36705800
2020-03-09,5.900000,5.970000,5.620000,5.670000,5.595686,43599000
2020-03-10,6.100000,6.170000,5.880000,6.150000,6.069396,35477000
2020-03-11,5.990000,6.020000,5.280000,5.530000,5.457523,66000900
2020-03-12,4.820000,5.080000,4.430000,4.770000,4.707484,55970800
2020-03-13,5.790000,5.790000,4.930000,5.490000,5.418046,74365500
2020-03-16,4.910000,5.170000,4.690000,4.730000,4.668007,41826200
2020-03-17,4.850000,5.330000,4.630000,4.900000,4.835780,38911800
2020-03-18,4.470000,4.750000,4.160000,4.430000,4.371939,49840900
2020-03-19,4.310000,4.650000,4.100000,4.490000,4.431153,49982500
2020-03-20,4.620000,4.680000,4.300000,4.380000,4.322596,54339400
2020-03-23,4.180000,4.220000,3.830000,4.020000,3.967313,38144600
2020-03-24,4.370000,4.590000,4.250000,4.460000,4.401546,24896100
2020-03-25,4.420000,5.030000,4.330000,4.720000,4.658138,66806200
2020-03-26,4.870000,4.970000,4.790000,4.900000,4.835780,58692100
2020-03-27,4.550000,4.760000,4.430000,4.570000,4.510104,42268500
2020-03-30,4.570000,4.810000,4.430000,4.690000,4.628532,31954000
2020-03-31,4.630000,4.650000,4.380000,4.490000,4.431153,30066100
2020-04-01,4.220000,4.260000,4.040000,4.080000,4.029219,26770400
2020-04-02,4.070000,4.190000,4.040000,4.100000,4.048969,23297100
2020-04-03,3.970000,3.970000,3.760000,3.900000,3.851459,37048600
2020-04-06,4.250000,4.330000,4.130000,4.170000,4.118099,34265600
2020-04-07,4.580000,4.620000,4.340000,4.380000,4.325485,33043500
2020-04-08,4.430000,4.730000,4.390000,4.680000,4.621751,29549000
2020-04-09,4.790000,4.880000,4.600000,4.640000,4.582249,29495800
2020-04-13,4.530000,4.640000,4.410000,4.620000,4.562498,25458600
2020-04-14,4.730000,4.870000,4.670000,4.690000,4.631627,26576000
2020-04-15,4.490000,4.670000,4.420000,4.500000,4.443991,21314900
2020-04-16,4.500000,4.510000,4.300000,4.310000,4.256355,24617000
2020-04-17,4.490000,4.500000,4.290000,4.420000,4.364987,17722200
2020-04-20,4.310000,4.320000,4.220000,4.250000,4.197103,27052700
2020-04-21,4.170000,4.200000,4.030000,4.050000,3.999592,33116000
2020-04-22,4.150000,4.270000,4.110000,4.120000,4.068721,59727500
2020-04-23,4.140000,4.140000,3.960000,4.000000,3.950214,44519400
2020-04-24,3.830000,3.830000,3.590000,3.660000,3.614446,60650600
2020-04-27,3.880000,3.940000,3.750000,3.800000,3.752703,38199200
2020-04-28,4.100000,4.280000,4.030000,4.250000,4.197103,59477300
2020-04-29,4.310000,4.490000,4.280000,4.470000,4.414364,38582900
2020-04-30,4.250000,4.310000,4.190000,4.210000,4.157600,28422300
2020-05-01,4.100000,4.180000,4.010000,4.050000,4.002444,17131800
2020-05-04,3.930000,4.040000,3.910000,4.030000,3.982678,38896800
2020-05-05,3.970000,4.250000,3.960000,4.080000,4.032092,33659500
2020-05-06,4.010000,4.040000,3.890000,3.910000,3.864088,30729600
2020-05-07,3.800000,3.820000,3.620000,3.740000,3.696084,54587800
2020-05-08,3.810000,4.010000,3.800000,3.980000,3.933266,34119800
2020-05-11,3.930000,4.010000,3.860000,3.880000,3.834441,47346800
2020-05-12,3.870000,3.970000,3.700000,3.710000,3.666437,48236900
2020-05-13,3.740000,3.760000,3.590000,3.690000,3.646672,31991100
2020-05-14,3.580000,3.890000,3.480000,3.880000,3.834441,57114400
2020-05-15,3.870000,3.960000,3.710000,3.750000,3.705967,30502600
2020-05-18,3.920000,4.020000,3.810000,3.980000,3.933266,32612200
2020-05-19,3.940000,3.940000,3.740000,3.770000,3.725732,41092800
2020-05-20,3.830000,3.860000,3.730000,3.810000,3.765262,44736400
2020-05-21,3.970000,4.090000,3.950000,4.070000,4.022210,53130900
2020-05-22,4.080000,4.200000,3.960000,4.080000,4.032092,31991700
2020-05-26,4.470000,4.480000,4.200000,4.220000,4.170448,52803900
2020-05-27,4.460000,4.500000,4.350000,4.490000,4.437277,35213300
2020-05-28,4.470000,4.480000,4.320000,4.330000,4.279156,25297500
2020-05-29,4.230000,4.350000,4.180000,4.250000,4.200096,37532900
2020-06-01,4.330000,4.440000,4.300000,4.390000,4.341516,35763200
2020-06-02,4.560000,4.850000,4.560000,4.830000,4.776658,54192300
2020-06-03,5.220000,5.250000,5.070000,5.090000,5.033787,45958900
2020-06-04,5.070000,5.270000,4.970000,5.250000,5.192019,53556300
2020-06-05,5.720000,5.790000,5.450000,5.530000,5.468926,39388200
2020-06-08,5.610000,5.880000,5.570000,5.850000,5.785392,30192300
2020-06-09,5.580000,5.790000,5.570000,5.660000,5.597490,26256200
2020-06-10,5.740000,5.750000,5.360000,5.360000,5.300805,37399000
2020-06-11,5.050000,5.170000,4.840000,4.940000,4.885443,40350500
2020-06-12,5.190000,5.280000,5.030000,5.150000,5.093123,37838400
2020-06-15,4.910000,5.110000,4.810000,5.000000,4.944780,37790100
2020-06-16,5.170000,5.210000,4.950000,5.020000,4.964558,32822900
2020-06-17,5.070000,5.160000,4.990000,5.060000,5.004117,19560700
2020-06-18,5.000000,5.240000,4.990000,5.090000,5.033787,36229200
2020-06-19,5.240000,5.300000,5.120000,5.270000,5.211798,39647900
2020-06-22,5.340000,5.370000,5.090000,5.150000,5.093123,19357700
2020-06-23,5.210000,5.350000,5.140000,5.230000,5.172239,31066600
2020-06-24,5.100000,5.100000,4.810000,4.840000,4.786547,52922600
2020-06-25,4.930000,4.950000,4.730000,4.890000,4.835995,50100100
2020-06-26,4.750000,4.780000,4.670000,4.690000,4.638203,20521800
2020-06-29,4.800000,4.880000,4.710000,4.860000,4.806326,18111600
2020-06-30,4.770000,4.790000,4.670000,4.690000,4.638203,25071700
2020-07-01,4.710000,4.920000,4.710000,4.900000,4.848986,18992000
2020-07-02,5.000000,5.160000,4.920000,4.930000,4.878673,25763900
2020-07-06,5.120000,5.230000,5.100000,5.150000,5.096383,22352000
2020-07-07,5.160000,5.220000,4.860000,4.860000,4.809402,52387800
2020-07-08,4.960000,5.060000,4.940000,5.020000,4.967736,20887000
2020-07-09,5.070000,5.110000,4.970000,5.050000,4.997424,23084500
2020-07-10,4.970000,5.120000,4.940000,5.090000,5.037008,19164400
2020-07-13,5.110000,5.120000,4.980000,4.980000,4.928153,13679100
2020-07-14,4.920000,5.120000,4.840000,5.110000,5.056799,20884700
2020-07-15,5.170000,5.220000,5.020000,5.080000,5.027112,14702500
2020-07-16,5.040000,5.100000,5.010000,5.020000,4.967736,17255300
2020-07-17,5.070000,5.100000,5.010000,5.020000,4.967736,13248500
2020-07-20,5.000000,5.140000,4.990000,5.090000,5.037008,18030800
2020-07-21,5.270000,5.400000,5.230000,5.310000,5.254717,26564700
2020-07-22,5.320000,5.350000,5.220000,5.320000,5.264613,17882300
2020-07-23,5.210000,5.250000,5.070000,5.080000,5.027112,16375100
2020-07-24,5.050000,5.170000,4.960000,5.090000,5.037008,15241700
2020-07-27,5.090000,5.390000,5.090000,5.360000,5.304198,26451500
2020-07-28,5.310000,5.450000,5.310000,5.340000,5.284405,16155700
2020-07-29,5.440000,5.500000,5.400000,5.450000,5.393260,18148900
2020-07-30,5.390000,5.430000,5.250000,5.380000,5.323988,14137400
2020-07-31,5.280000,5.280000,5.090000,5.100000,5.046904,16739700
2020-08-03,5.040000,5.180000,4.950000,5.010000,4.960759,28512400
2020-08-04,4.920000,4.990000,4.730000,4.870000,4.822135,35186100
2020-08-05,4.910000,4.960000,4.750000,4.830000,4.782528,33013700
2020-08-06,4.800000,4.900000,4.750000,4.840000,4.792429,22261300
2020-08-07,4.740000,4.870000,4.660000,4.690000,4.643904,34777500
2020-08-10,4.740000,4.800000,4.670000,4.740000,4.693412,20345000
2020-08-11,4.790000,4.810000,4.710000,4.710000,4.663708,23245100
2020-08-12,4.750000,4.750000,4.540000,4.610000,4.564691,25759700
2020-08-13,4.670000,4.760000,4.540000,4.560000,4.515181,25161900
2020-08-14,4.540000,4.640000,4.520000,4.540000,4.495378,23765900
2020-08-17,4.530000,4.540000,4.320000,4.360000,4.317147,27836800
2020-08-18,4.470000,4.510000,4.350000,4.400000,4.366770,44678700
2020-08-19,4.390000,4.420000,4.340000,4.350000,4.317147,22436600
2020-08-20,4.200000,4.340000,4.130000,4.310000,4.277449,29360800
2020-08-21,4.290000,4.290000,4.220000,4.260000,4.227828,24991100
2020-08-24,4.360000,4.420000,4.320000,4.350000,4.317147,29984100
2020-08-25,4.370000,4.390000,4.270000,4.360000,4.327071,40325700
2020-08-26,4.360000,4.360000,4.150000,4.220000,4.188129,24214800
2020-08-27,4.290000,4.370000,4.250000,4.300000,4.267525,27351400
2020-08-28,4.390000,4.500000,4.370000,4.480000,4.446166,121712800
2020-08-31,4.400000,4.400000,4.260000,4.260000,4.227828,42240600
2020-09-01,4.390000,4.500000,4.370000,4.470000,4.439367,65554900
2020-09-02,4.450000,4.510000,4.420000,4.480000,4.449299,23255300
2020-09-03,4.590000,4.770000,4.590000,4.660000,4.628066,60214400
2020-09-04,4.700000,4.750000,4.590000,4.650000,4.618134,41305000
2020-09-08,4.560000,4.590000,4.500000,4.500000,4.469162,24788600
2020-09-09,4.590000,4.610000,4.520000,4.570000,4.538682,21449500
2020-09-10,4.590000,4.640000,4.460000,4.460000,4.429435,22364900
2020-09-11,4.450000,4.490000,4.360000,4.410000,4.379778,12245800
2020-09-14,4.400000,4.560000,4.360000,4.520000,4.489025,24333200
2020-09-15,4.540000,4.580000,4.430000,4.480000,4.449299,21767400
2020-09-16,4.480000,4.570000,4.440000,4.470000,4.439367,20108100
2020-09-17,4.400000,4.510000,4.390000,4.510000,4.479094,18550800
2020-09-18,4.400000,4.420000,4.200000,4.240000,4.210944,44660200
2020-09-21,4.140000,4.240000,4.090000,4.170000,4.141423,25410700
2020-09-22,4.260000,4.290000,4.130000,4.220000,4.191080,22316500
2020-09-23,4.130000,4.180000,3.980000,3.990000,3.962657,21054700
2020-09-24,4.030000,4.210000,3.990000,4.120000,4.091766,32569600
2020-09-25,4.060000,4.100000,4.010000,4.090000,4.061972,24137200
2020-09-28,4.250000,4.280000,3.960000,4.010000,3.982520,24659500
2020-09-29,3.970000,4.050000,3.890000,3.890000,3.863342,21916200
2020-09-30,3.930000,4.010000,3.920000,3.980000,3.952725,17328000
2020-10-01,3.950000,3.960000,3.890000,3.950000,3.925890,12557900
2020-10-02,3.940000,4.120000,3.930000,3.980000,3.955707,29421900
2020-10-05,3.950000,4.110000,3.930000,4.090000,4.065035,15826500
2020-10-06,4.130000,4.230000,4.010000,4.070000,4.045158,31324600
2020-10-07,4.080000,4.100000,3.980000,3.990000,3.965646,23246800
2020-10-08,4.030000,4.310000,4.000000,4.270000,4.243937,36423700
2020-10-09,4.250000,4.430000,4.220000,4.310000,4.283693,40894700
2020-10-12,4.300000,4.370000,4.260000,4.340000,4.313510,12982800
2020-10-13,4.260000,4.310000,4.190000,4.250000,4.224060,31101600
2020-10-14,4.250000,4.290000,4.200000,4.230000,4.204181,16791800
2020-10-15,4.140000,4.220000,4.120000,4.170000,4.144547,20370300
2020-10-16,4.120000,4.140000,4.070000,4.080000,4.055097,22087000
2020-10-19,4.120000,4.280000,4.070000,4.120000,4.094851,28652800
2020-10-20,4.250000,4.370000,4.250000,4.310000,4.283693,28965000
2020-10-21,4.270000,4.450000,4.270000,4.340000,4.313510,43923600
2020-10-22,4.380000,4.600000,4.380000,4.580000,4.552045,34910800
2020-10-23,4.650000,4.690000,4.490000,4.490000,4.462594,28276000
2020-10-26,4.500000,4.580000,4.430000,4.520000,4.492411,29887400
2020-10-27,4.500000,4.540000,4.330000,4.370000,4.343327,38779600
2020-10-28,4.170000,4.230000,4.050000,4.060000,4.035218,30692200
2020-10-29,4.030000,4.160000,3.960000,4.140000,4.114731,42015500
2020-10-30,4.090000,4.120000,4.000000,4.090000,4.065035,37896000
2020-11-02,4.090000,4.150000,4.060000,4.100000,4.077965,11504800
2020-11-03,4.220000,4.260000,4.120000,4.170000,4.147589,35282800
2020-11-04,4.320000,4.470000,4.320000,4.370000,4.346515,51133100
2020-11-05,4.600000,4.650000,4.530000,4.630000,4.605117,48398600
2020-11-06,4.630000,4.760000,4.560000,4.740000,4.714526,36041800
2020-11-09,5.190000,5.240000,4.990000,5.130000,5.102431,71537200
2020-11-10,5.210000,5.400000,5.160000,5.390000,5.361033,67422800
2020-11-11,5.250000,5.370000,5.220000,5.300000,5.271517,49052900
2020-11-12,5.200000,5.260000,5.020000,5.100000,5.072592,44092800
2020-11-13,5.110000,5.230000,5.090000,5.210000,5.182000,34494400
2020-11-16,5.400000,5.460000,5.330000,5.410000,5.380925,47877800
2020-11-17,5.350000,5.540000,5.340000,5.520000,5.490334,45395100
2020-11-18,5.460000,5.530000,5.350000,5.390000,5.361033,47174100
2020-11-19,5.420000,5.510000,5.360000,5.400000,5.370979,45955000
2020-11-20,5.350000,5.390000,5.250000,5.290000,5.261570,25673300
2020-11-23,5.360000,5.380000,5.280000,5.350000,5.321248,43054000
2020-11-24,5.510000,5.620000,5.480000,5.570000,5.540065,44792200
2020-11-25,5.440000,5.600000,5.430000,5.550000,5.520174,65261400
2020-11-27,5.490000,5.600000,5.480000,5.500000,5.470442,36023800
2020-11-30,5.420000,5.520000,5.310000,5.350000,5.321248,46975400
2020-12-01,5.530000,5.820000,5.520000,5.730000,5.702404,58047900
2020-12-02,5.650000,5.800000,5.620000,5.770000,5.742210,37140800
2020-12-03,5.870000,6.040000,5.810000,5.850000,5.821826,47143300
2020-12-04,5.820000,5.970000,5.810000,5.940000,5.911392,38305900
2020-12-07,6.070000,6.150000,5.920000,6.000000,5.971103,46155800
2020-12-08,6.050000,6.140000,5.930000,5.950000,5.921343,34215900
2020-12-09,6.010000,6.060000,5.890000,5.970000,5.941248,38374100
2020-12-10,6.090000,6.330000,6.040000,6.300000,6.269658,50091700
2020-12-11,6.170000,6.250000,6.140000,6.240000,6.221798,39462600
2020-12-14,6.220000,6.260000,6.050000,6.050000,6.032352,35513500
2020-12-15,6.090000,6.190000,6.060000,6.180000,6.161973,30393000
2020-12-16,6.150000,6.310000,6.060000,6.280000,6.261682,37493300
2020-12-17,6.320000,6.370000,6.210000,6.290000,6.271653,30222700
2020-12-18,6.260000,6.330000,6.230000,6.260000,6.241741,44180400
2020-12-21,6.120000,6.170000,6.040000,6.080000,6.062265,44635800
2020-12-22,6.110000,6.170000,6.020000,6.060000,6.042323,37683200
2020-12-23,6.110000,6.180000,6.090000,6.160000,6.142032,33189700
2020-12-24,6.170000,6.200000,6.090000,6.190000,6.171944,8550300
2020-12-28,6.170000,6.170000,6.060000,6.130000,6.112119,26103000
2020-12-29,6.190000,6.220000,6.130000,6.160000,6.142032,35903500
2020-12-30,6.140000,6.230000,6.110000,6.130000,6.112119,29612300
2020-12-31,6.150000,6.150000,6.070000,6.090000,6.072236,8213100
2021-01-04,6.110000,6.130000,5.860000,5.890000,5.875713,32394900
2021-01-05,5.730000,5.900000,5.700000,5.850000,5.835811,36710900
2021-01-06,5.890000,6.100000,5.860000,6.000000,5.985447,46156100
2021-01-07,6.110000,6.140000,5.990000,6.110000,6.095181,37692900
2021-01-08,6.150000,6.180000,6.020000,6.070000,6.055277,43675300
2021-01-11,5.880000,5.940000,5.790000,5.900000,5.885690,43634000
2021-01-12,5.880000,6.090000,5.850000,6.030000,6.015375,35284700
2021-01-13,6.070000,6.080000,5.890000,5.960000,5.945544,38271300
2021-01-14,6.040000,6.350000,6.020000,6.300000,6.284719,47514000
2021-01-15,6.070000,6.100000,5.930000,5.960000,5.945544,31882400
2021-01-19,5.920000,5.950000,5.740000,5.800000,5.785932,37380200
2021-01-20,5.780000,5.800000,5.690000,5.730000,5.716102,21051300
2021-01-21,5.660000,5.680000,5.540000,5.580000,5.566465,27805000
2021-01-22,5.450000,5.470000,5.320000,5.400000,5.386902,35393600
2021-01-25,5.350000,5.350000,5.210000,5.240000,5.236988,28504200
2021-01-26,5.500000,5.510000,5.280000,5.290000,5.286960,36066900
2021-01-27,5.280000,5.390000,5.170000,5.260000,5.256977,36998300
2021-01-28,5.350000,5.470000,5.300000,5.410000,5.406891,45252100
2021-01-29,5.310000,5.340000,5.160000,5.220000,5.217000,48449800
2021-02-01,5.380000,5.410000,5.250000,5.350000,5.350000,42583200
2021-02-02,5.410000,5.450000,5.260000,5.320000,5.320000,45955200
2021-02-03,5.370000,5.420000,5.250000,5.270000,5.270000,32485800
2021-02-04,5.240000,5.250000,5.180000,5.230000,5.230000,35059500
2021-02-05,5.250000,5.290000,5.170000,5.230000,5.230000,41073400
2021-02-08,5.190000,5.280000,5.110000,5.130000,5.130000,44000000
2021-02-09,5.060000,5.280000,5.030000,5.170000,5.170000,35784200
2021-02-10,5.160000,5.190000,5.070000,5.160000,5.160000,26437900
2021-02-11,5.230000,5.250000,5.100000,5.170000,5.170000,21195700
2021-02-12,5.120000,5.250000,5.110000,5.170000,5.170000,26141600
